Duration in months,Credit history,Purpose,Credit amount,Present employment since,Installment Rate,Gender,Marital Status,Present resident since,Property,Age,Housing,Employment,Credit Risk
6,No credits existing,Car,609,< 7 year,4,Female,Unknown,3,Life Insurance,37,Own,Skilled,1
6,No credits existing,Car,1361,< 1 year,2,Male,Single,4,Real estate,40,Own,Unskilled resident,1
36,No credits existing,Furniture,7127,< 1 year,2,Female,Unknown,4,Life Insurance,23,Rent,Skilled,0
6,Existing credits paid back duly,Car,1203,>= 7 year,3,Male,Single,2,Life Insurance,43,Own,Skilled,1
6,No credits existing,Radio/Television,700,>= 7 year,4,Male,Single,4,No property,36,Free,Skilled,1
24,No credits existing,Repairs,5507,>= 7 year,3,Male,Single,4,No property,44,Free,Skilled,1
18,Existing credits paid back duly,Radio/Television,3190,< 4 year,2,Female,Unknown,2,Real estate,24,Own,Skilled,0
48,No credits taken,Furniture,7119,< 4 year,3,Male,Single,4,No property,53,Free,Skilled,0
24,Existing credits paid back duly,Car,3488,< 7 year,3,Female,Unknown,4,Car or other property,23,Own,Skilled,1
18,Existing credits paid back duly,Radio/Television,1113,< 4 year,4,Female,Unknown,4,Real estate,26,Own,Unskilled resident,1
26,Existing credits paid back duly,Car,7966,< 1 year,2,Male,Single,3,Car or other property,30,Own,Skilled,1
15,No credits existing,Education,1532,< 4 year,4,Female,Unknown,3,Car or other property,31,Own,Skilled,1
4,No credits existing,Radio/Television,1503,< 7 year,2,Male,Single,1,Real estate,42,Own,Unskilled resident,1
36,Existing credits paid back duly,Radio/Television,2302,< 4 year,4,Male,Divorced,4,Car or other property,31,Rent,Skilled,0
6,Existing credits paid back duly,Car,662,< 1 year,3,Male,Single,4,Real estate,41,Own,Unskilled resident,1
36,Existing credits paid back duly,Education,2273,< 7 year,3,Male,Single,1,Car or other property,32,Own,Skilled,1
15,Existing credits paid back duly,Car,2631,< 4 year,2,Female,Unknown,4,Car or other property,28,Rent,Skilled,0
12,Delay in paying off,Car,1503,< 4 year,4,Male,Married,4,Real estate,41,Rent,Skilled,1
24,Existing credits paid back duly,Radio/Television,1311,< 7 year,4,Male,Married,3,Life Insurance,26,Own,Skilled,1
24,Existing credits paid back duly,Radio/Television,3105,< 1 year,4,Male,Single,2,Car or other property,25,Own,Skilled,1
21,No credits existing,Education,2319,< 1 year,2,Male,Divorced,1,Car or other property,33,Rent,Skilled,0
6,Existing credits paid back duly,Car,1374,Unemployed,4,Female,Unknown,3,Life Insurance,75,Own,Self-employed,1
18,No credits existing,Furniture,3612,>= 7 year,3,Female,Unknown,4,Life Insurance,37,Own,Skilled,1
48,Existing credits paid back duly,Car,7763,>= 7 year,4,Male,Single,4,No property,42,Free,Self-employed,0
18,Existing credits paid back duly,Furniture,3049,< 1 year,1,Female,Unknown,1,Life Insurance,45,Own,Unskilled resident,1
12,Existing credits paid back duly,Radio/Television,1534,< 1 year,1,Male,Married,1,Real estate,23,Rent,Skilled,0
24,Delay in paying off,Car,2032,>= 7 year,4,Male,Single,4,No property,60,Free,Skilled,1
30,Existing credits paid back duly,Furniture,6350,>= 7 year,4,Male,Single,4,Life Insurance,31,Own,Skilled,0
18,Existing credits paid back duly,Furniture,2864,< 4 year,2,Male,Single,1,Real estate,34,Own,Unskilled resident,0
12,No credits existing,Car,1255,>= 7 year,4,Male,Single,4,Real estate,61,Own,Unskilled resident,1
24,Delay in paying off,Car,1333,Unemployed,4,Male,Single,2,Real estate,43,Free,Skilled,0
24,No credits existing,Car,2022,< 4 year,4,Female,Unknown,4,Car or other property,37,Own,Skilled,1
24,Existing credits paid back duly,Radio/Television,1552,< 7 year,3,Male,Single,1,Car or other property,32,Own,Skilled,1
12,Credits paid back duly,Radio/Television,626,< 4 year,4,Female,Unknown,4,Real estate,24,Own,Unskilled resident,0
48,No credits existing,Car,8858,< 7 year,2,Male,Single,1,No property,35,Free,Skilled,1
12,No credits existing,Repairs,996,< 7 year,4,Female,Unknown,4,Real estate,23,Own,Skilled,1
6,Credits paid back duly,Radio/Television,1750,>= 7 year,2,Male,Single,4,Life Insurance,45,Own,Unskilled resident,1
48,Existing credits paid back duly,Radio/Television,6999,< 7 year,1,Male,Married,1,Real estate,34,Own,Skilled,0
12,No credits existing,Car,1995,< 1 year,4,Male,Single,1,Car or other property,27,Own,Skilled,1
9,Existing credits paid back duly,Education,1199,< 7 year,4,Female,Unknown,4,Life Insurance,67,Own,Self-employed,1
12,Existing credits paid back duly,Radio/Television,1331,< 1 year,2,Male,Single,1,Car or other property,22,Own,Skilled,0
18,No credits taken,Car,2278,< 1 year,3,Female,Unknown,3,Car or other property,28,Own,Skilled,0
21,No credits taken,Car,5003,< 4 year,1,Female,Unknown,4,Life Insurance,29,Own,Skilled,0
24,Credits paid back duly,Furniture,3552,< 7 year,3,Male,Single,4,Car or other property,27,Own,Skilled,0
18,No credits existing,Furniture,1928,< 1 year,2,Male,Single,2,Real estate,31,Own,Unskilled resident,0
24,Existing credits paid back duly,Car,2964,>= 7 year,4,Male,Single,4,No property,49,Free,Skilled,1
24,Credits paid back duly,Radio/Television,1546,< 7 year,4,Male,Single,4,Car or other property,24,Rent,Unskilled resident,0
6,Delay in paying off,Radio/Television,683,< 1 year,2,Female,Unknown,1,Life Insurance,29,Own,Skilled,1
36,Existing credits paid back duly,Car,12389,< 4 year,1,Male,Single,4,No property,37,Free,Skilled,0
24,Delay in paying off,Business,4712,< 4 year,4,Male,Single,2,Life Insurance,37,Own,Self-employed,1
24,Delay in paying off,Radio/Television,1553,< 7 year,3,Female,Unknown,2,Life Insurance,23,Rent,Skilled,1
12,Existing credits paid back duly,Car,1372,< 7 year,2,Male,Divorced,3,Car or other property,36,Own,Skilled,0
24,No credits existing,Radio/Television,2578,>= 7 year,2,Male,Single,2,Car or other property,34,Own,Skilled,1
48,Existing credits paid back duly,Radio/Television,3979,< 7 year,4,Male,Single,1,Car or other property,41,Own,Skilled,1
48,Existing credits paid back duly,Radio/Television,6758,< 4 year,3,Female,Unknown,2,Car or other property,31,Own,Skilled,0
24,Existing credits paid back duly,Furniture,3234,< 1 year,4,Female,Unknown,4,Real estate,23,Rent,Unskilled resident,0
30,No credits existing,Radio/Television,5954,< 7 year,3,Male,Single,2,Car or other property,38,Own,Skilled,1
24,Existing credits paid back duly,Car,5433,Unemployed,2,Female,Unknown,4,Life Insurance,26,Rent,Self-employed,1
15,Existing credits paid back duly,Business,806,< 4 year,4,Female,Unknown,4,Life Insurance,22,Own,Unskilled resident,1
9,Existing credits paid back duly,Radio/Television,1082,>= 7 year,4,Male,Single,4,Car or other property,27,Own,Unskilled resident,1
15,No credits existing,Furniture,2788,< 7 year,2,Female,Unknown,3,Car or other property,24,Own,Skilled,1
12,Existing credits paid back duly,Radio/Television,2930,< 7 year,2,Female,Unknown,1,Real estate,27,Own,Skilled,1
24,No credits existing,Education,1927,< 4 year,3,Female,Unknown,2,Car or other property,33,Own,Skilled,1
36,No credits existing,Car,2820,< 1 year,4,Male,Divorced,4,Car or other property,27,Own,Skilled,0
24,Existing credits paid back duly,Retraining,937,< 1 year,4,Male,Married,3,Car or other property,27,Own,Unskilled resident,1
18,No credits existing,Car,1056,>= 7 year,3,Male,Single,3,Real estate,30,Own,Skilled,0
12,No credits existing,Car,3124,< 1 year,1,Male,Single,3,Real estate,49,Own,Unskilled resident,1
9,Existing credits paid back duly,Furniture,1388,< 4 year,4,Female,Unknown,2,Real estate,26,Rent,Skilled,1
36,Existing credits paid back duly,Repairs,2384,< 1 year,4,Male,Single,1,No property,33,Rent,Unskilled resident,0
12,Existing credits paid back duly,Car,2133,>= 7 year,4,Female,Unknown,4,No property,52,Free,Self-employed,1
18,Existing credits paid back duly,Furniture,2039,< 4 year,1,Female,Unknown,4,Real estate,20,Rent,Skilled,0
9,No credits existing,Car,2799,< 4 year,2,Male,Single,2,Real estate,36,Rent,Skilled,1
12,Existing credits paid back duly,Furniture,1289,< 4 year,4,Male,Single,1,Life Insurance,21,Own,Unskilled resident,1
18,Existing credits paid back duly,Domestic Appliances,1217,< 4 year,4,Male,Married,3,Real estate,47,Own,Unskilled resident,0
12,No credits existing,Furniture,2246,>= 7 year,3,Male,Single,3,Life Insurance,60,Own,Skilled,0
12,No credits existing,Radio/Television,385,< 7 year,4,Female,Unknown,3,Real estate,58,Own,Unskilled resident,1
24,Delay in paying off,Car,1965,< 4 year,4,Female,Unknown,4,Car or other property,42,Rent,Skilled,1
21,Existing credits paid back duly,Business,1572,>= 7 year,4,Female,Unknown,4,Real estate,36,Own,Unskilled resident,1
24,Existing credits paid back duly,Car,2718,< 4 year,3,Female,Unknown,4,Life Insurance,20,Rent,Unskilled resident,0
24,Credits paid back duly,Car0,1358,>= 7 year,4,Male,Single,3,Car or other property,40,Own,Self-employed,0
6,Credits paid back duly,Car,931,< 1 year,1,Female,Unknown,1,Life Insurance,32,Own,Unskilled resident,0
24,Existing credits paid back duly,Car,1442,< 7 year,4,Female,Unknown,4,Car or other property,23,Rent,Skilled,0
24,No credits taken,Business,4241,< 4 year,1,Male,Single,4,Real estate,36,Own,Unskilled resident,0
18,No credits existing,Car,2775,< 7 year,2,Male,Single,2,Life Insurance,31,Own,Skilled,0
24,Delay in paying off,Business,3863,< 4 year,1,Male,Single,2,No property,32,Free,Skilled,1
7,Existing credits paid back duly,Radio/Television,2329,< 1 year,1,Female,Unknown,1,Real estate,45,Own,Skilled,1
9,Existing credits paid back duly,Furniture,918,< 4 year,4,Female,Unknown,1,Life Insurance,30,Own,Skilled,0
24,Credits paid back duly,Education,1837,< 7 year,4,Female,Unknown,4,No property,34,Free,Unskilled resident,0
36,Existing credits paid back duly,Furniture,3349,< 4 year,4,Female,Unknown,2,Car or other property,28,Own,Self-employed,0
10,Existing credits paid back duly,Furniture,1275,< 1 year,4,Female,Unknown,2,Life Insurance,23,Own,Skilled,1
24,Credits paid back duly,Furniture,2828,< 4 year,4,Male,Single,4,Real estate,22,Own,Skilled,1
24,No credits existing,Business,4526,< 4 year,3,Male,Single,2,Real estate,74,Own,Self-employed,1
36,Existing credits paid back duly,Radio/Television,2671,< 4 year,4,Female,Unknown,4,No property,50,Free,Skilled,0
18,Existing credits paid back duly,Radio/Television,2051,< 1 year,4,Male,Single,1,Real estate,33,Own,Skilled,1
15,Existing credits paid back duly,Car,1300,>= 7 year,4,Male,Single,4,No property,45,Free,Skilled,1
12,Existing credits paid back duly,Domestic Appliances,741,Unemployed,4,Female,Unknown,3,Life Insurance,22,Own,Skilled,0
10,Existing credits paid back duly,Car,1240,>= 7 year,1,Female,Unknown,4,No property,48,Free,Unskilled resident,0
21,Existing credits paid back duly,Radio/Television,3357,< 1 year,4,Female,Unknown,2,Car or other property,29,Own,Skilled,1
24,Credits paid back duly,Car,3632,< 4 year,1,Female,Unknown,4,Car or other property,22,Rent,Skilled,1
18,Delay in paying off,Furniture,1808,< 7 year,4,Female,Unknown,1,Real estate,22,Own,Skilled,0
48,No credits taken,Business,12204,< 4 year,2,Male,Single,2,Car or other property,48,Own,Self-employed,1
60,Delay in paying off,Radio/Television,9157,< 4 year,2,Male,Single,2,No property,27,Free,Self-employed,1
6,No credits existing,Car,3676,< 4 year,1,Male,Single,3,Real estate,37,Rent,Skilled,1
30,Existing credits paid back duly,Furniture,3441,< 4 year,2,Female,Unknown,4,Car or other property,21,Rent,Skilled,0
12,Existing credits paid back duly,Car,640,< 4 year,4,Male,Divorced,2,Real estate,49,Own,Unskilled resident,1
21,No credits existing,Business,3652,< 7 year,2,Male,Single,3,Life Insurance,27,Own,Skilled,1
18,No credits existing,Car,1530,< 4 year,3,Male,Single,2,Life Insurance,32,Own,Skilled,0
48,Existing credits paid back duly,Business,3914,< 4 year,4,Male,Divorced,2,Real estate,38,Own,Skilled,0
12,Existing credits paid back duly,Furniture,1858,< 1 year,4,Female,Unknown,1,Car or other property,22,Rent,Skilled,1
18,Existing credits paid back duly,Radio/Television,2600,< 4 year,4,Male,Single,4,No property,65,Free,Skilled,0
15,Existing credits paid back duly,Radio/Television,1979,>= 7 year,4,Male,Single,2,Car or other property,35,Own,Skilled,1
6,Existing credits paid back duly,Furniture,2116,< 4 year,2,Male,Single,2,Real estate,41,Own,Skilled,1
9,Credits paid back duly,Car,1437,< 7 year,2,Male,Single,3,No property,29,Own,Skilled,0
42,No credits existing,Furniture,4042,< 4 year,4,Male,Single,4,Real estate,36,Own,Skilled,1
9,Existing credits paid back duly,Education,3832,>= 7 year,1,Male,Single,4,Real estate,64,Own,Unskilled resident,1
24,Existing credits paid back duly,Radio/Television,3660,< 4 year,2,Female,Unknown,4,Car or other property,28,Own,Skilled,1
18,Credits paid back duly,Furniture,1553,< 4 year,4,Male,Single,3,Car or other property,44,Own,Skilled,0
15,Existing credits paid back duly,Radio/Television,1444,< 1 year,4,Male,Single,1,Life Insurance,23,Own,Skilled,1
9,Existing credits paid back duly,Furniture,1980,< 1 year,2,Female,Unknown,2,Car or other property,19,Rent,Skilled,0
24,Existing credits paid back duly,Car,1355,< 1 year,3,Female,Unknown,4,Car or other property,25,Own,Unskilled resident,0
12,Existing credits paid back duly,Education,1393,>= 7 year,4,Male,Single,4,Life Insurance,47,Own,Skilled,1
24,Existing credits paid back duly,Radio/Television,1376,< 7 year,4,Female,Unknown,1,Car or other property,28,Own,Skilled,1
60,Delay in paying off,Radio/Television,15653,< 7 year,2,Male,Single,4,Car or other property,21,Own,Skilled,1
12,Existing credits paid back duly,Radio/Television,1493,< 1 year,4,Female,Unknown,3,Car or other property,34,Own,Skilled,1
42,Delay in paying off,Radio/Television,4370,< 7 year,3,Male,Single,2,Life Insurance,26,Own,Skilled,0
18,Existing credits paid back duly,Education,750,Unemployed,4,Female,Unknown,1,Real estate,27,Own,Unemployed,0
15,Existing credits paid back duly,Repairs,1308,>= 7 year,4,Male,Single,4,Car or other property,38,Own,Unskilled resident,1
15,Existing credits paid back duly,Education,4623,< 4 year,3,Male,Single,2,Life Insurance,40,Own,Self-employed,0
24,No credits existing,Radio/Television,1851,< 7 year,4,Male,Married,2,Car or other property,33,Own,Skilled,1
18,No credits existing,Radio/Television,1880,< 7 year,4,Male,Married,1,Life Insurance,32,Own,Self-employed,1
36,Delay in paying off,Business,7980,< 1 year,4,Male,Single,4,Car or other property,27,Rent,Skilled,0
30,No credits taken,Furniture,4583,< 4 year,2,Male,Divorced,2,Real estate,32,Own,Skilled,1
12,Existing credits paid back duly,Car,1386,< 4 year,2,Female,Unknown,2,Life Insurance,26,Own,Skilled,0
24,Existing credits paid back duly,Car,947,< 7 year,4,Male,Single,3,No property,38,Free,Skilled,0
12,Existing credits paid back duly,Education,684,< 4 year,4,Male,Single,4,Car or other property,40,Rent,Unskilled resident,0
48,Existing credits paid back duly,Education,7476,< 7 year,4,Male,Single,1,No property,50,Free,Self-employed,1
12,Existing credits paid back duly,Furniture,1922,< 4 year,4,Male,Single,2,Life Insurance,37,Own,Unskilled resident,0
24,Existing credits paid back duly,Car,2303,>= 7 year,4,Male,Single,1,Real estate,45,Own,Skilled,0
36,Delay in paying off,Car,8086,>= 7 year,2,Male,Single,4,Car or other property,42,Own,Self-employed,0
24,No credits existing,Car,2346,< 7 year,4,Male,Single,3,Car or other property,35,Own,Skilled,1
14,Existing credits paid back duly,Car,3973,Unemployed,1,Male,Single,4,No property,22,Free,Skilled,1
12,Existing credits paid back duly,Car,888,>= 7 year,4,Male,Single,4,Car or other property,41,Own,Unskilled resident,0
48,Existing credits paid back duly,Radio/Television,10222,< 7 year,4,Male,Single,3,Car or other property,37,Own,Skilled,1
30,No credits taken,Business,4221,< 4 year,2,Female,Unknown,1,Car or other property,28,Own,Skilled,1
18,No credits existing,Furniture,6361,>= 7 year,2,Male,Single,1,No property,41,Own,Skilled,1
12,Existing credits paid back duly,Radio/Television,1297,< 4 year,3,Male,Married,4,Real estate,23,Rent,Skilled,1
12,Existing credits paid back duly,Car,900,< 4 year,4,Male,Married,2,Car or other property,23,Own,Skilled,0
21,Existing credits paid back duly,Furniture,2241,>= 7 year,4,Male,Single,2,Real estate,50,Own,Skilled,1
6,Delay in paying off,Furniture,1050,Unemployed,4,Male,Single,1,Life Insurance,35,Own,Self-employed,1
6,No credits existing,Education,1047,< 4 year,2,Female,Unknown,4,Life Insurance,50,Own,Unskilled resident,1
24,No credits existing,Car0,6314,Unemployed,4,Male,Single,2,No property,27,Own,Self-employed,1
30,Credits paid back duly,Furniture,3496,< 4 year,4,Male,Single,2,Car or other property,34,Own,Skilled,1
48,Credits paid back duly,Business,3609,< 4 year,1,Female,Unknown,1,Real estate,27,Own,Skilled,1
12,No credits existing,Car,4843,>= 7 year,3,Male,Single,4,Life Insurance,43,Rent,Skilled,0
30,No credits existing,Radio/Television,3017,>= 7 year,4,Male,Single,4,Life Insurance,47,Own,Skilled,1
24,No credits existing,Business,4139,< 4 year,3,Male,Single,3,Life Insurance,27,Own,Unskilled resident,1
36,Existing credits paid back duly,Business,5742,< 7 year,2,Male,Single,2,Car or other property,31,Own,Skilled,1
60,Existing credits paid back duly,Car,10366,>= 7 year,2,Male,Single,4,Life Insurance,42,Own,Self-employed,1
6,No credits existing,Car,2080,< 4 year,1,Male,Married,2,Car or other property,24,Own,Skilled,1
21,Delay in paying off,Business,2580,< 1 year,4,Male,Single,2,Real estate,41,Own,Unskilled resident,0
30,No credits existing,Radio/Television,4530,< 7 year,4,Female,Unknown,4,Car or other property,26,Rent,Self-employed,1
24,No credits existing,Furniture,5150,>= 7 year,4,Male,Single,4,Car or other property,33,Own,Skilled,1
72,Existing credits paid back duly,Radio/Television,5595,< 4 year,2,Male,Married,2,Car or other property,24,Own,Skilled,0
24,Existing credits paid back duly,Radio/Television,2384,>= 7 year,4,Male,Single,4,Real estate,64,Rent,Unskilled resident,1
18,Existing credits paid back duly,Radio/Television,1453,< 1 year,3,Female,Unknown,1,Real estate,26,Own,Skilled,1
6,Existing credits paid back duly,Education,1538,< 1 year,1,Female,Unknown,2,No property,56,Own,Skilled,1
12,Existing credits paid back duly,Radio/Television,2279,< 4 year,4,Male,Single,4,No property,37,Free,Skilled,1
15,Delay in paying off,Radio/Television,1478,< 4 year,4,Male,Married,3,Real estate,33,Own,Skilled,1
24,No credits existing,Radio/Television,5103,< 1 year,3,Male,Married,3,No property,47,Free,Skilled,1
36,Delay in paying off,Business,9857,< 7 year,1,Male,Single,3,Life Insurance,31,Own,Unskilled resident,1
60,Existing credits paid back duly,Car,6527,< 4 year,4,Male,Single,4,No property,34,Free,Skilled,1
10,No credits existing,Radio/Television,1347,< 7 year,4,Male,Single,2,Life Insurance,27,Own,Skilled,1
36,Delay in paying off,Car,2862,>= 7 year,4,Male,Single,3,No property,30,Free,Skilled,1
9,Existing credits paid back duly,Radio/Television,2753,>= 7 year,3,Male,Single,4,Car or other property,35,Own,Skilled,1
12,Existing credits paid back duly,Car,3651,< 4 year,1,Male,Single,3,Life Insurance,31,Own,Skilled,1
15,No credits existing,Furniture,975,< 4 year,2,Male,Divorced,3,Life Insurance,25,Own,Skilled,1
15,Existing credits paid back duly,Repairs,2631,< 4 year,3,Female,Unknown,2,Real estate,25,Own,Unskilled resident,1
24,Existing credits paid back duly,Radio/Television,2896,< 1 year,2,Male,Single,1,Car or other property,29,Own,Skilled,1
6,No credits existing,Car,4716,< 1 year,1,Male,Single,3,Real estate,44,Own,Unskilled resident,1
24,Existing credits paid back duly,Radio/Television,2284,< 7 year,4,Male,Single,2,Car or other property,28,Own,Skilled,1
6,Existing credits paid back duly,Car,1236,< 4 year,2,Male,Single,4,Life Insurance,50,Rent,Skilled,1
12,Existing credits paid back duly,Radio/Television,1103,< 7 year,4,Male,Single,3,Real estate,29,Own,Skilled,1
12,No credits existing,Car,926,Unemployed,1,Female,Unknown,2,Life Insurance,38,Own,Unemployed,1
18,No credits existing,Radio/Television,1800,< 4 year,4,Male,Single,2,Car or other property,24,Own,Skilled,1
15,Existing credits paid back duly,Education,1905,>= 7 year,4,Male,Single,4,Car or other property,40,Rent,Self-employed,1
12,Existing credits paid back duly,Furniture,1123,< 4 year,4,Female,Unknown,4,Car or other property,29,Rent,Unskilled resident,0
48,No credits existing,Car,6331,>= 7 year,4,Male,Single,4,No property,46,Free,Skilled,0
24,Existing credits paid back duly,Radio/Television,1377,>= 7 year,4,Female,Unknown,2,No property,47,Free,Skilled,1
30,Delay in paying off,Business,2503,>= 7 year,4,Male,Single,2,Life Insurance,41,Own,Skilled,1
27,Existing credits paid back duly,Business,2528,< 1 year,4,Female,Unknown,1,Life Insurance,32,Own,Skilled,1
15,Existing credits paid back duly,Car,5324,>= 7 year,1,Female,Unknown,4,No property,35,Free,Skilled,1
48,Existing credits paid back duly,Car,6560,< 7 year,3,Male,Single,2,Life Insurance,24,Own,Skilled,0
12,No credits taken,Furniture,2969,< 1 year,4,Female,Unknown,3,Life Insurance,25,Rent,Skilled,0
9,Existing credits paid back duly,Radio/Television,1206,>= 7 year,4,Female,Unknown,4,Real estate,25,Own,Skilled,1
9,Existing credits paid back duly,Radio/Television,2118,< 4 year,2,Male,Single,2,Real estate,37,Own,Unskilled resident,1
18,No credits existing,Radio/Television,629,>= 7 year,4,Male,Single,3,Life Insurance,32,Own,Self-employed,1
6,Credits paid back duly,Education,1198,>= 7 year,4,Female,Unknown,4,No property,35,Free,Skilled,0
21,Existing credits paid back duly,Car,2476,>= 7 year,4,Male,Single,4,Real estate,46,Own,Self-employed,1
9,No credits existing,Radio/Television,1138,< 4 year,4,Male,Single,4,Real estate,25,Own,Unskilled resident,1
60,Existing credits paid back duly,Car,14027,< 7 year,4,Male,Single,2,No property,27,Own,Self-employed,0
30,No credits existing,Car,7596,>= 7 year,1,Male,Single,4,Car or other property,63,Own,Skilled,1
30,No credits existing,Radio/Television,3077,>= 7 year,3,Male,Single,2,Car or other property,40,Own,Skilled,1
18,Existing credits paid back duly,Radio/Television,1505,< 4 year,4,Male,Single,2,No property,32,Free,Self-employed,1
24,No credits existing,Radio/Television,3148,< 4 year,3,Male,Single,2,Car or other property,31,Own,Skilled,1
20,No credits taken,Car,6148,>= 7 year,3,Male,Married,4,Car or other property,31,Own,Skilled,1
9,No credits taken,Radio/Television,1337,< 1 year,4,Male,Single,2,Car or other property,34,Own,Self-employed,0
6,Credits paid back duly,Education,433,< 1 year,4,Female,Unknown,2,Life Insurance,24,Rent,Skilled,0
12,Existing credits paid back duly,Car,1228,< 4 year,4,Female,Unknown,2,Real estate,24,Own,Unskilled resident,0
9,Existing credits paid back duly,Radio/Television,790,< 4 year,4,Female,Unknown,3,Real estate,66,Own,Unskilled resident,1
27,Existing credits paid back duly,Car,2570,< 4 year,3,Female,Unknown,3,Real estate,21,Rent,Skilled,0
6,No credits existing,Car,250,< 4 year,2,Female,Unknown,2,Real estate,41,Own,Unskilled resident,1
15,No credits existing,Radio/Television,1316,< 4 year,2,Male,Married,2,Life Insurance,47,Own,Unskilled resident,1
18,Existing credits paid back duly,Radio/Television,1882,< 4 year,4,Female,Unknown,4,Car or other property,25,Rent,Skilled,0
48,Credits paid back duly,Business,6416,>= 7 year,4,Female,Unknown,3,No property,59,Rent,Skilled,0
24,No credits existing,Business,1275,< 4 year,2,Male,Divorced,4,Real estate,36,Own,Skilled,1
24,Delay in paying off,Radio/Television,6403,< 1 year,1,Male,Single,2,Car or other property,33,Own,Skilled,1
24,Existing credits paid back duly,Radio/Television,1987,< 4 year,2,Male,Single,4,Real estate,21,Rent,Unskilled resident,0
8,Existing credits paid back duly,Radio/Television,760,< 7 year,4,Female,Unknown,2,Real estate,44,Own,Unskilled resident,1
24,Existing credits paid back duly,Car,2603,< 4 year,2,Female,Unknown,4,Car or other property,28,Rent,Skilled,1
4,No credits existing,Car,3380,< 7 year,1,Female,Unknown,1,Real estate,37,Own,Skilled,1
36,Credits paid back duly,Domestic Appliances,3990,< 1 year,3,Female,Unknown,2,No property,29,Own,Unemployed,1
24,Existing credits paid back duly,Car,11560,< 4 year,1,Female,Unknown,4,Car or other property,23,Rent,Self-employed,0
18,Existing credits paid back duly,Car,4380,< 4 year,3,Male,Single,4,Car or other property,35,Own,Unskilled resident,1
6,No credits existing,Car,6761,< 7 year,1,Male,Single,3,No property,45,Own,Self-employed,1
30,No credits taken,Business,4280,< 4 year,4,Female,Unknown,4,Car or other property,26,Rent,Unskilled resident,0
24,Credits paid back duly,Car,2325,< 7 year,2,Male,Single,3,Car or other property,32,Own,Skilled,1
10,Credits paid back duly,Radio/Television,1048,< 4 year,4,Male,Single,4,Real estate,23,Own,Unskilled resident,1
21,Existing credits paid back duly,Radio/Television,3160,>= 7 year,4,Male,Single,3,Life Insurance,41,Own,Skilled,1
24,Credits paid back duly,Furniture,2483,< 4 year,4,Male,Single,4,Real estate,22,Own,Skilled,1
39,No credits existing,Furniture,14179,< 7 year,4,Male,Single,4,Life Insurance,30,Own,Self-employed,1
13,No credits existing,Business,1797,< 1 year,3,Male,Single,1,Life Insurance,28,Own,Unskilled resident,1
15,Existing credits paid back duly,Car,2511,Unemployed,1,Female,Unknown,4,Car or other property,23,Rent,Skilled,1
12,Existing credits paid back duly,Car,1274,< 1 year,3,Female,Unknown,1,Real estate,37,Own,Unskilled resident,0
21,Existing credits paid back duly,Car,5248,< 4 year,1,Male,Single,3,Car or other property,26,Own,Skilled,1
15,Existing credits paid back duly,Car,3029,< 7 year,2,Male,Single,2,Car or other property,33,Own,Skilled,1
6,Existing credits paid back duly,Furniture,428,>= 7 year,2,Female,Unknown,1,Life Insurance,49,Own,Skilled,1
18,Existing credits paid back duly,Car,976,< 1 year,1,Female,Unknown,2,Car or other property,23,Own,Unskilled resident,0
12,Existing credits paid back duly,Business,841,< 7 year,2,Female,Unknown,4,Real estate,23,Rent,Unskilled resident,1
30,No credits existing,Radio/Television,5771,< 7 year,4,Female,Unknown,2,Car or other property,25,Own,Skilled,1
12,Delay in paying off,Repairs,1555,>= 7 year,4,Male,Single,4,No property,55,Free,Skilled,0
24,Existing credits paid back duly,Car,1285,< 7 year,4,Female,Unknown,4,No property,32,Rent,Skilled,0
6,No credits existing,Car,1299,< 4 year,1,Male,Single,1,Real estate,74,Own,Unemployed,1
15,No credits existing,Radio/Television,1271,< 4 year,3,Male,Single,4,No property,39,Free,Skilled,0
24,Existing credits paid back duly,Car,1393,< 4 year,2,Male,Single,2,Real estate,31,Own,Skilled,1
12,No credits existing,Car,691,>= 7 year,4,Male,Single,3,Life Insurance,35,Own,Skilled,0
15,No credits existing,Car,5045,>= 7 year,1,Female,Unknown,4,Car or other property,59,Own,Skilled,1
18,No credits existing,Furniture,2124,< 4 year,4,Female,Unknown,4,Real estate,24,Rent,Skilled,0
12,Existing credits paid back duly,Radio/Television,2214,< 4 year,4,Male,Single,3,Life Insurance,24,Own,Unskilled resident,1
21,No credits existing,Car,12680,>= 7 year,4,Male,Single,4,No property,30,Free,Self-employed,0
24,No credits existing,Car,2463,< 7 year,4,Male,Married,3,Life Insurance,27,Own,Skilled,1
12,Existing credits paid back duly,Radio/Television,1155,>= 7 year,3,Male,Married,3,Real estate,40,Own,Unskilled resident,1
30,Existing credits paid back duly,Furniture,3108,< 1 year,2,Male,Divorced,4,Life Insurance,31,Own,Unskilled resident,0
10,Existing credits paid back duly,Car,2901,< 1 year,1,Female,Unknown,4,Real estate,31,Rent,Skilled,1
12,No credits existing,Furniture,3617,>= 7 year,1,Male,Single,4,Car or other property,28,Rent,Skilled,1
12,No credits existing,Radio/Television,1655,>= 7 year,2,Male,Single,4,Real estate,63,Own,Unskilled resident,1
24,Existing credits paid back duly,Car,2812,>= 7 year,2,Female,Unknown,4,Real estate,26,Rent,Skilled,1
36,No credits existing,Education,8065,< 4 year,3,Female,Unknown,2,No property,25,Own,Self-employed,0
21,No credits existing,Car,3275,>= 7 year,1,Male,Single,4,Car or other property,36,Own,Self-employed,1
